Brand,Model,Type,Gender,Size,Color,Material,Price (USD)
Nike,Air Jordan 1,Basketball,Men,US 10,Red/Black,Leather,$170.00 
Adidas,Ultra Boost 21,Running,Men,US 9.5,Black,Primeknit,$180.00 
Reebok,Classic Leather,Casual,Men,US 11,White,Leather,$75.00 
Converse,Chuck Taylor,Casual,Women,US 8,Navy,Canvas,$55.00 
Puma,Future Rider,Lifestyle,Women,US 7.5,Pink,Mesh,$80.00 
Vans,Old Skool,Skate,Men,US 8.5,Black/White,Suede/Canvas,$65.00 
New Balance,990v5,Running,Women,US 6.5,Grey,Suede/Mesh,$175.00 
Asics,Gel-Kayano 28,Running,Men,US 10.5,Blue,Mesh,$160.00 
Fila,Disruptor II,Fashion,Women,US 9,White,Leather/Synthetic,$65.00 
Skechers,Go Run Razor 3,Running,Men,US 9,Black,Mesh,$110.00 
Nike,Air Max 270,Running,Women,US 7,Pink,Mesh,$150.00 
Adidas,Stan Smith,Casual,Men,US 9,White/Green,Leather,$80.00 
Reebok,Club C 85,Casual,Women,US 8.5,Pink,Leather,$70.00 
Converse,One Star,Skate,Men,US 10,Black,Suede,$75.00 
Puma,RS-Fast,Lifestyle,Men,US 9.5,Yellow,Leather/Synthetic,$110.00 
Vans,Authentic,Skate,Women,US 6,White,Canvas,$50.00 
New Balance,Fresh Foam 1080v11,Running,Men,US 11.5,Blue,Mesh,$150.00 
Asics,Gel-Nimbus 23,Running,Women,US 8,Purple,Mesh,$150.00 
Fila,Ray Tracer,Fashion,Men,US 10,Black,Synthetic,$70.00 
Skechers,Arch Fit,Walking,Women,US 7.5,Grey,Mesh,$70.00 
Nike,Air Force 1,Casual,Men,US 10,White,Leather,$90.00 
Adidas,NMD_R1,Running,Women,US 8.5,Black/Pink,Primeknit,$140.00 
Reebok,Zig Kinetica II,Running,Men,US 11,White,Mesh,$120.00 
Converse,Jack Purcell,Casual,Women,US 7.5,Navy,Canvas,$65.00 
Puma,Calibrate Runner,Running,Men,US 9.5,Black,Mesh,$80.00 
Vans,Sk8-Hi,Skate,Women,US 8,Black/White,Suede/Canvas,$70.00 
New Balance,327,Lifestyle,Men,US 10,Blue/Orange,Suede/Mesh,$90.00 
Asics,Gel-Quantum 180,Running,Women,US 9,Grey,Mesh/Synthetic,$120.00 
Fila,Mindblower,Fashion,Men,US 8.5,White,Leather/Synthetic,$75.00 
Skechers,D'Lites,Walking,Women,US 7,Black,Synthetic,$65.00 
Nike,Air Max 2090,Running,Men,US 9,Grey,Mesh,$150.00 
Adidas,Adizero Adios 5,Running,Women,US 7.5,Blue,Mesh,$170.00 
Reebok,Nano 9,Cross-training,Men,US 10,Black,Mesh/Synthetic,$130.00 
Converse,Chuck 70,Casual,Women,US 9,Pink,Canvas,$85.00 
Puma,Future Rider Play,Lifestyle,Men,US 9,Black/Red,Synthetic,$90.00 
Vans,Slip-On,Skate,Women,US 7,Checkered,Canvas,$50.00 
New Balance,574,Casual,Men,US 9,Black/Grey,Suede/Textile,$80.00 
Asics,Gel-Kayano 27,Running,Women,US 8.5,Purple,Mesh/Synthetic,$160.00 
Fila,Venom,Fashion,Men,US 9.5,White/Red,Leather/Synthetic,$65.00 
Skechers,Go Walk 5,Walking,Women,US 7.5,Black,Mesh,$60.00 
Nike,Air Force 1,Casual,Men,US 11,White,Leather,$90.00 
Adidas,NMD_R1,Running,Women,US 9,Black,Knit,$140.00 
Reebok,Zig Kinetica II,Running,Men,US 9.5,White,Mesh,$120.00 
Converse,Jack Purcell,Casual,Men,US 10,White,Canvas,$65.00 
Puma,Suede Classic,Casual,Women,US 8.5,Beige,Suede,$65.00 
Vans,Sk8-Hi,Skate,Men,US 8,Black/White,Suede/Canvas,$70.00 
New Balance,327,Casual,Women,US 7.5,Orange,Suede/Mesh,$100.00 
Asics,Gel-Kayano 28,Running,Women,US 7,White,Mesh,$160.00 
Fila,Original Fitness,Casual,Men,US 11,White/Navy,Leather,$70.00 
Skechers,Go Walk 5,Walking,Women,US 8,Black,Mesh,$60.00 
Nike,Free RN 5.0,Running,Men,US 10,Grey,Mesh,$100.00 
Adidas,Adilette Cloudfoam,Slides,Women,US 6,Black,Synthetic,$35.00 
Reebok,Nano 9,Crossfit,Men,US 10.5,Black,Mesh,$130.00 
Converse,Chuck 70,Casual,Women,US 7.5,Pink,Canvas,$85.00 
Puma,Clyde All Pro,Basketball,Men,US 9.5,Black/Red,Leather,$130.00 
Vans,Era,Skate,Women,US 6.5,White,Canvas,$55.00 
New Balance,Fresh Foam More v2,Running,Men,US 12,Black/Grey,Mesh,$165.00 
Asics,GT-2000 10,Running,Women,US 7,Blue,Mesh,$120.00 
Fila,Mindblower,Casual,Men,US 9.5,White/Blue,Leather/Synthetic,$75.00 
Skechers,Dynamight 2.0,Training,Women,US 9,Black,Mesh,$50.00 
Nike,Air Force 1,Basketball,Men,US 11,White,Leather,$90.00 
Adidas,NMD_R1,Lifestyle,Women,US 7,Pink,Primeknit,$130.00 
Reebok,Nano X1,Training,Men,US 9,Black,Knit,$130.00 
Converse,Chuck 70,Casual,Women,US 8.5,Yellow,Canvas,$85.00 
Puma,Clyde All-Pro,Basketball,Men,US 10,Red,Leather,$130.00 
Vans,Sk8-Hi,Skate,Women,US 7,Black,Suede,$70.00 
New Balance,Fresh Foam 1080v11,Running,Women,US 8,Green,Mesh,$150.00 
Asics,Gel-Quantum 360,Running,Men,US 11,Blue,Mesh,$170.00 
Fila,D-Formation,Casual,Women,US 8.5,White,Leather,$65.00 
Skechers,Max Cushioning,Running,Men,US 8.5,Black,Mesh,$90.00 
Nike,Air Max 90,Lifestyle,Women,US 6,Grey,Leather,$120.00 
Adidas,Yeezy Boost 350,Lifestyle,Men,US 10,Black,Primeknit,$220.00 
Reebok,Classic Nylon,Casual,Women,US 7.5,Pink,Nylon,$65.00 
Converse,Jack Purcell,Casual,Men,US 9,White,Canvas,$65.00 
Puma,Calibrate Runner,Running,Women,US 9,Grey,Mesh,$120.00 
Vans,Era,Skate,Men,US 9.5,Red,Canvas,$50.00 
New Balance,FuelCell Echo,Running,Women,US 7,Pink,Mesh,$100.00 
Asics,GT-2000 9,Running,Men,US 10.5,Black,Mesh,$120.00 
Fila,Original Fitness,Casual,Women,US 7,White,Leather,$60.00 
Skechers,Elite Flex,Walking,Men,US 10,Navy,Mesh,$65.00 
Nike,Blazer Low,Lifestyle,Women,US 7.5,White,Leather,$85.00 
Nike,Air Force 1,Basketball,Men,US 10,White,Leather,$90.00 
Adidas,NMD_R1,Lifestyle,Men,US 8.5,Black,Primeknit,$140.00 
Reebok,Nano X1,Training,Women,US 7.5,Grey,Flexweave,$130.00 
Converse,Jack Purcell,Casual,Men,US 9,White,Canvas,$65.00 
Puma,Clyde All-Pro,Basketball,Men,US 11,Red/White,Leather,$120.00 
Vans,SK8-Hi,Skate,Women,US 6,Black,Suede/Canvas,$70.00 
New Balance,574,Casual,Men,US 10,Navy,Suede/Mesh,$80.00 
Asics,Gel-Lyte III NS,Casual,Women,US 8,Pink,Mesh,$100.00 
Fila,Mindblower,Fashion,Men,US 9.5,White,Leather/Synthetic,$75.00 
Skechers,Max Cushioning,Running,Women,US 7,Black,Mesh,$75.00 
Nike,React Infinity Run Flyknit 2,Running,Men,US 9.5,Blue,Flyknit,$160.00 
Adidas,Harden Stepback,Basketball,Men,US 12,Grey,Synthetic,$80.00 
Reebok,Classic Nylon,Casual,Women,US 7.5,Black,Nylon,$65.00 
Converse,Chuck 70,Casual,Men,US 8,Yellow,Canvas,$85.00 
Puma,Calibrate Runner,Running,Men,US 10.5,Black/Yellow,Mesh,$80.00 
Vans,Era,Skate,Women,US 7,Green,Canvas,$55.00 
New Balance,FuelCell Propel V3,Running,Women,US 6.5,Purple,Mesh,$100.00 
Asics,Gel-Kayano 28 Lite-Show,Running,Men,US 11,Black,Mesh,$170.00 
Fila,Trailblazer,Fashion,Women,US 8,White/Pink,Leather,$65.00 
Skechers,Summits - Quick Getaway,Walking,Men,US 9,Grey,Mesh,$60.00 
Nike,Air Zoom Tempo NEXT% FlyEase,Running,Women,US 8.5,White,Mesh,$200.00 
Nike,React Infinity Run 2,Running,Women,US 7.5,Grey,Mesh,$160.00 
Adidas,Superstar,Casual,Men,US 8.5,Black/White,Leather,$80.00 
Reebok,Zig Kinetica Horizon,Running,Women,US 6.5,Blue,Mesh,$120.00 
Converse,Chuck 70,Casual,Men,US 9,White,Canvas,$85.00 
Puma,Cali Sport,Lifestyle,Women,US 9.5,White,Leather,$90.00 
Vans,Sk8-Hi,Skate,Men,US 10,Black/White,Suede/Canvas,$70.00 
New Balance,990v5,Running,Men,US 9.5,Grey,Suede/Mesh,$175.00 
Asics,Gel-Venture 8,Trail,Women,US 8.5,Blue,Mesh,$70.00 
Fila,Mindblower,Fashion,Men,US 11,White,Synthetic,$75.00 
Skechers,Go Run Mojo,Running,Women,US 7,Black,Mesh,$60.00 
Nike,Air Zoom Pegasus 38,Running,Men,US 11,Black,Mesh,$120.00 
Adidas,Ultraboost 5.0 DNA,Running,Women,US 8.5,Grey,Primeknit,$180.00 
Reebok,Classic Leather Legacy,Casual,Men,US 9.5,White,Leather,$80.00 
Converse,Jack Purcell,Casual,Women,US 6,Navy,Canvas,$65.00 
Puma,RS-Fast Tech,Lifestyle,Men,US 9.5,Black/Red,Synthetic,$110.00 
Vans,Era,Skate,Women,US 7.5,Black/White,Canvas,$50.00 
New Balance,Fresh Foam Roav,Running,Men,US 10,Red,Mesh,$80.00 
Asics,GT-2000 10,Running,Women,US 9,Black,Mesh,$120.00 
Fila,Original Fitness,Fashion,Men,US 10,White,Leather,$60.00 
Skechers,Max Cushioning Elite,Walking,Women,US 8,Navy,Mesh,$80.00 
Nike,Air Force 1 '07,Basketball,Men,US 11,White,Leather,$90.00 
Adidas,NMD_R1,Running,Women,US 8,Pink,Primeknit,$140.00 
Reebok,Nano 9,Training,Men,US 9.5,Black/White,Mesh,$130.00 
Converse,Jack Purcell,Casual,Women,US 7.5,White,Canvas,$65.00 
Puma,Calibrate Runner,Running,Men,US 10,Black/Grey,Mesh/Synthetic,$90.00 
Vans,Sk8-Hi,Skate,Women,US 9,Black/White,Canvas,$65.00 
New Balance,FuelCell Rebel v2,Running,Men,US 9.5,Blue/White,Mesh,$130.00 
Asics,Gel-Kinsei OG,Running,Women,US 7.5,White/Grey,Mesh/Leather,$180.00 
Fila,Spaghetti,Fashion,Men,US 8,White/Navy,Leather/Synthetic,$65.00 
Skechers,Go Walk 5,Walking,Women,US 6.5,Black,Mesh,$60.00 
Nike,ZoomX Invincible Run,Running,Men,US 11,Black,Mesh/Synthetic,$180.00 
Adidas,Ultraboost DNA,Running,Women,US 8,Grey,Primeknit,$180.00 
Reebok,Classic Nylon,Casual,Men,US 10.5,Black,Nylon,$60.00 
Converse,Run Star Hike,Casual,Women,US 8,Cream,Canvas,$110.00 
Puma,Suede Classic+,Casual,Men,US 8,Red/White,Suede,$65.00 
Vans,Era,Skate,Women,US 7.5,Green,Canvas,$50.00 
New Balance,Fresh Foam More v3,Running,Men,US 11,Black/Grey,Mesh/Synthetic,$165.00 
Asics,Gel-Quantum 90 3,Running,Women,US 9,Pink,Mesh/Synthetic,$90.00 
Fila,Original Fitness,Casual,Men,US 9.5,White/Navy/Red,Leather,$60.00 
Skechers,Go Run Mojo Pep,Running,Women,US 8.5,Black/White,Mesh,$55 
Nike,Air Force 1,Casual,Men,US 11,White,Leather,$90.00 
Adidas,NMD_R1,Running,Women,US 8.5,Pink,Primeknit,$130.00 
Reebok,Zig Kinetica II,Running,Men,US 9,Blue,Mesh,$120.00 
Converse,Chuck 70,Casual,Women,US 7,Black,Canvas,$85.00 
Puma,Clyde All-Pro,Basketball,Men,US 10,White,Leather,$130.00 
Vans,Sk8-Hi,Skate,Women,US 9,Black/White,Suede/Canvas,$65.00 
New Balance,574 Classic,Casual,Men,US 10.5,Grey,Suede/Mesh,$80.00 
Asics,Gel-Quantum 90 3,Running,Women,US 7.5,Black,Mesh,$70.00 
Fila,Mindblower,Fashion,Men,US 11,Grey,Leather/Synthetic,$75.00 
Skechers,Max Cushioning Premier,Running,Women,US 7.5,Pink,Mesh,$90.00 
Nike,Blazer Mid '77,Casual,Men,US 9.5,White,Leather,$100.00 
Adidas,Superstar,Casual,Women,US 7.5,Black/White,Leather,$85.00 
Reebok,DMX Thrill,Running,Men,US 10,Black,Mesh,$70.00 
Converse,Jack Purcell,Casual,Women,US 8.5,White,Canvas,$65.00 
Puma,Calibrate Runner,Running,Men,US 9.5,Black/Yellow,Mesh,$140.00 
Vans,Slip-On,Skate,Women,US 6.5,Checkered,Canvas,$50.00 
New Balance,Fresh Foam Beacon V3,Running,Men,US 11,Blue,Mesh,$120.00 
Asics,Gel-Venture 8,Trail,Women,US 9.5,Grey,Mesh,$70.00 
Fila,F-13,Fashion,Men,US 10,White,Leather,$70.00 
Skechers,Equalizer 4.0,Training,Women,US 8.5,Black,Mesh,$65.00 
Nike,KD13,Basketball,Men,US 11,Blue,Mesh,$150.00 
Nike,React Infinity Run Flyknit 2,Running,Women,US 9.5,Black/White,Flyknit,$160.00 
Adidas,NMD_R1,Lifestyle,Men,US 11.5,Grey,Primeknit,$140.00 
Reebok,Aztrek 96,Casual,Women,US 8.5,Yellow/Black,Leather/Synthetic,$90.00 
Converse,Jack Purcell,Casual,Men,US 9,Navy/White,Canvas,$70.00 
Puma,Calibrate Runner,Running,Men,US 10,Black,Mesh,$100.00 
Vans,Sk8-Hi,Skate,Women,US 7.5,Black/White,Suede/Canvas,$65.00 
New Balance,327,Casual,Men,US 10,Green,Suede/Leather,$90.00 
Asics,GT-2000 10,Running,Women,US 8,Blue,Mesh,$120.00 
Fila,Trailblazer,Fashion,Men,US 9,White/Grey,Leather,$85.00 
Skechers,Max Cushioning Premier,Running,Women,US 7,Grey/Pink,Mesh,$105.00 
Nike,Blazer Mid '77,Casual,Men,US 8.5,Green,Leather,$100.00 
Adidas,Ultraboost 6.0,Running,Women,US 7.5,Black/White,Primeknit,$180.00 
Reebok,Classic Nylon,Casual,Men,US 11.5,Blue/White,Nylon,$60.00 
Converse,Pro Leather,Casual,Women,US 9.5,White/Green,Leather,$75.00 
Puma,Clyde All-Pro,Basketball,Men,US 9.5,Black,Leather/Synthetic,$130.00 
Vans,Era 95 DX,Skate,Women,US 6.5,Black/White,Canvas,$65.00 
New Balance,Fresh Foam More v3,Running,Men,US 10,Black/Grey,Mesh,$165.00 
Asics,Gel-Quantum 360 6,Running,Women,US 9,Grey/Green,Mesh,$180.00 
Fila,Spaghetti,Basketball,Men,US 10.5,White,Leather,$75.00 
Skechers,Uno Bold Move,Casual,Women,US 8.5,Black/White,Synthetic,$70.00 
Nike,Air Force 1,Basketball,Men,US 10,White,Leather,$100.00 
Adidas,NMD_R1,Lifestyle,Women,US 8,Grey,Primeknit,$140.00 
Reebok,Nano X1,Training,Men,US 9.5,Black,Knit,$130.00 
Converse,Jack Purcell,Casual,Women,US 6.5,Navy,Canvas,$65.00 
Puma,Calibrate Runner,Running,Men,US 11,Black,Mesh,$80.00 
Vans,Sk8-Hi,Skate,Women,US 7.5,Black/White,Canvas/Suede,$70.00 
New Balance,327,Lifestyle,Men,US 10,Beige,Suede/Mesh,$100.00 
Asics,Gel-Excite 8,Running,Women,US 9,Pink,Mesh,$75.00 
Fila,Memory Fresh 2,Walking,Men,US 10,White,Synthetic,$60.00 
Skechers,Energy Burst,Running,Women,US 8,Black,Mesh,$70.00 
Nike,Flyknit Trainer,Running,Men,US 10,Black/White,Flyknit,$150.00 
Adidas,Ultraboost 4.0,Running,Women,US 7,Blue,Primeknit,$180.00 
Reebok,Floatride Energy,Running,Men,US 10.5,Grey,Mesh,$100.00 
Converse,Chuck 70 High,Casual,Women,US 9,Pink,Canvas,$85.00 
Puma,Clyde All-Pro,Basketball,Men,US 9,White,Leather,$130.00 
Vans,Era,Skate,Women,US 8.5,Black,Canvas,$50.00 
New Balance,Fresh Foam Beacon v3,Running,Men,US 12,Blue,Mesh,$120.00 
Asics,Gel-Kayano 27,Running,Women,US 8.5,Black,Mesh,$160.00 
Fila,Trailblazer,Fashion,Men,US 11,Black,Leather,$75.00 
Skechers,Equalizer 4.0,Walking,Women,US 7,Grey,Mesh,$60.00 
Nike,Blazer Mid '77,Casual,Men,US 9.5,White/Red/Navy,Leather,$100.00 
Adidas,Superstar,Casual,Women,US 7.5,White/Black,Leather,$80.00 
Reebok,Zig Kinetica,Running,Men,US 11.5,White/Black,Mesh,$120.00 
Converse,Jack Purcell,Casual,Men,US 8.5,White/Navy,Canvas,$70.00 
Puma,Suede Classic,Casual,Women,US 8.5,Pink,Suede,$65.00 
Vans,Sk8-Hi,Skate,Men,US 10,Black/White,Canvas,$70.00 
New Balance,Fresh Foam More,Running,Women,US 9,Grey/Purple,Mesh,$165.00 
Asics,Gel-Kayano 27,Running,Men,US 10.5,Black/Green,Mesh,$160.00 
Fila,Trailblazer,Fashion,Women,US 7,Cream,Synthetic,$75.00 
Skechers,D'Lites Fresh Start,Walking,Men,US 9.5,White/Black,Leather,$70.00 
Nike,Air Force 1,Casual,Women,US 8.5,White/Red,Leather,$90.00 
Adidas,NMD_R1,Casual,Men,US 9,Black/White,Primeknit,$130.00 
Reebok,Club C 85 MU,Casual,Men,US 11,White/Black,Leather,$75.00 
Converse,Chuck 70,Casual,Women,US 8.5,Cream,Canvas,$85.00 
Puma,Calibrate Runner,Running,Men,US 8.5,Black/Blue,Mesh,$120.00 
Vans,Era,Skate,Women,US 7,Pink/White,Canvas,$50.00 
New Balance,FuelCell Propel v2,Running,Men,US 9,Blue/Green,Mesh,$100.00 
Asics,Gel-Cumulus 23,Running,Women,US 8.5,Pink/White,Mesh,$120.00 
Fila,Mindblower,Fashion,Men,US 10,White/Black,Synthetic,$75.00 
Nike,Air Force 1,Casual,Men,US 11,White,Leather,$90.00 
Adidas,NMD_R1,Lifestyle,Women,US 8,Pink,Primeknit,$140.00 
Reebok,Nano X1,Training,Men,US 9.5,Grey,Knit,$130.00 
Converse,All Star Hi,Casual,Women,US 7,Black,Canvas,$60.00 
Puma,Calibrate Runner,Running,Men,US 10.5,Blue,Mesh,$90.00 
Vans,Sk8-Hi,Skate,Women,US 6,Red/White,Canvas,$70.00 
New Balance,327,Lifestyle,Men,US 8.5,Green,Suede/Mesh,$100.00 
Asics,Gel-Quantum 180,Running,Women,US 7.5,Grey,Mesh,$120.00 
Fila,Mindblower,Fashion,Men,US 9,White,Leather,$70.00 
Skechers,Max Cushioning,Walking,Women,US 9,Black,Mesh,$75.00 
Nike,React Infinity Run Flyknit,Running,Men,US 12,Black,Flyknit,$160.00 
Adidas,Adilette Comfort,Slides,Women,US 6,Black,Synthetic,$35.00 
Reebok,Classic Nylon,Casual,Men,US 10,Grey,Nylon,$65.00 
Converse,Chuck 70,Casual,Women,US 8,Cream,Canvas,$85.00 
Puma,RS-X3 Puzzle,Lifestyle,Men,US 8.5,Black/Yellow,Synthetic,$110.00 
Vans,Era,Skate,Women,US 7,Pink,Canvas,$55.00 
New Balance,990v4,Running,Men,US 9.5,Grey,Suede/Mesh,$175.00 
Asics,GT-2000 10,Running,Women,US 9,Blue,Mesh,$120.00 
Fila,D-Formation,Fashion,Men,US 11,White,Leather,$65.00 
Skechers,Equalizer 4.0,Training,Women,US 8.5,Black,Knit,$70.00 
Nike,Air Zoom Pegasus 38,Running,Men,US 10.5,Blue,Mesh,$120.00 
Nike,Air Force 1 '07,Basketball,Men,US 11,White,Leather,$90.00 
Adidas,Yeezy Boost 350 V2,Fashion,Men,US 9,Zebra,Primeknit,$220.00 
Reebok,Nano X1 Adventure,Training,Men,US 10,Khaki,Textile/Leather,$130.00 
Converse,Jack Purcell Low,Casual,Women,US 7.5,Pink,Canvas,$65.00 
Puma,Clyde All-Pro,Basketball,Men,US 10.5,Black/White,Leather/Suede,$130.00 
Vans,Sk8-Hi,Skate,Women,US 9,Checkerboard,Canvas,$70.00 
New Balance,Fresh Foam Hierro v6,Trail,Men,US 9.5,Grey/Yellow,Synthetic/Mesh,$135.00 
Asics,Gel-Quantum 180 5,Running,Women,US 8,Pink,Mesh,$120.00 
Fila,D-Formation,Fashion,Men,US 11,Black,Leather,$65.00 
Skechers,Arch Fit Refine,Walking,Women,US 6.5,Navy,Mesh,$65.00 
