Brand,Model,Type,Gender,Size,Color,Material,Price (USD)
Nike,Air Zoom Pegasus 38,Running,Men,US 12,Blue,Mesh,$120.00 
Adidas,NMD_R1,Casual,Women,US 8.5,Pink,Primeknit,$130.00 
Reebok,Floatride Energy 3,Running,Men,US 9,Black,Mesh,$100.00 
Converse,Chuck 70 High,Casual,Men,US 12,Green,Canvas,$85.00 
Puma,Calibrate Runner,Running,Women,US 9,White,Mesh,$90.00 
Vans,Era,Skate,Men,US 8.5,Black,Canvas,$50.00 
New Balance,FuelCell Rebel v2,Running,Women,US 7.5,Orange,Mesh,$130.00 
Asics,Gel-Cumulus 23,Running,Men,US 11,Grey,Mesh,$120.00 
Fila,Mindblower,Fashion,Women,US 7,White,Leather/Synthetic,$65.00 
Skechers,GOrun Mojo 2.0,Running,Men,US 8,Black,Mesh,$60.00 
Nike,Air Force 1,Basketball,Men,US 11,White,Leather,$90.00 
Adidas,NMD_R1,Running,Women,US 8.5,Pink,Knit,$140.00 
Reebok,ZigWild Trail 7,Trail,Men,US 9.5,Black,Mesh/Synthetic,$110.00 
Converse,Jack Purcell,Casual,Women,US 7,Blue,Canvas,$65.00 
Puma,Calibrate Runner,Running,Men,US 10,Grey,Mesh,$90.00 
Vans,SK8-Hi,Skate,Women,US 6.5,Black/White,Canvas/Leather,$70.00 
New Balance,FuelCell Rebel v2,Running,Women,US 7,White/Pink,Mesh,$110.00 
Asics,Gel-Kahana 8,Running,Men,US 8,Grey,Mesh,$85.00 
Fila,Mindblower,Fashion,Women,US 7.5,White/Pink,Leather/Synthetic,$65.00 
Skechers,Max Cushioning,Running,Men,US 11,Black,Mesh,$85.00 
Nike,Air Max 2090,Running,Men,US 12,Black,Mesh/Synthetic,$150.00 
Adidas,Superstar,Casual,Women,US 9.5,White/Black,Leather,$85.00 
Reebok,Nano 9,Training,Men,US 10,Blue,Synthetic,$130.00 
Converse,Pro Leather,Casual,Men,US 9.5,White/Green,Leather,$80.00 
Puma,RS-X³,Lifestyle,Women,US 8.5,Pink,Mesh,$110.00 
Vans,Slip-On,Casual,Men,US 10.5,Black/White,Canvas,$50.00 
New Balance,Fresh Foam More v3,Running,Men,US 12,Black/Grey,Mesh,$165.00 
Asics,GT-1000 9,Running,Women,US 6.5,Blue,Mesh,$90.00 
Fila,T1 Mid,Casual,Men,US 11,White,Leather,$65.00 
Skechers,Go Walk 5,Walking,Women,US 8.5,Black,Mesh,$60.00 
Nike,Blazer Mid '77,Casual,Men,US 8.5,Green,Leather,$100.00 
Nike,Air Force 1,Casual,Men,US 9.5,White,Leather,$90.00 
Adidas,NMD_R1,Lifestyle,Women,US 7,Black/Pink,Knit,$140.00 
Reebok,Nano X1,Crossfit,Men,US 10,Black,Mesh,$130.00 
Converse,Chuck 70,Casual,Women,US 8.5,Ivory,Canvas,$85.00 
Puma,Calibrate,Running,Men,US 8.5,Grey,Mesh,$130.00 
Vans,SK8-Hi,Skate,Men,US 9.5,Black/White,Canvas,$70.00 
New Balance,574,Casual,Women,US 7,Pink,Suede,$80.00 
Asics,Gel-Quantum 180 6,Running,Men,US 11,Black,Mesh,$120.00 
Fila,Mindblower,Fashion,Women,US 8,White,Leather/Synthetic,$65.00 
Skechers,Max Cushioning,Running,Women,US 7.5,Black,Mesh,$90.00 
Nike,Free RN Flyknit,Running,Men,US 10,Blue,Knit,$130.00 
Adidas,Adizero Boston 9,Running,Women,US 6.5,Black,Mesh,$120.00 
Reebok,Zig Kinetica II,Running,Men,US 9,Blue,Mesh,$120.00 
Converse,Run Star Hike,Casual,Women,US 8.5,White,Canvas,$110.00 
Puma,Ralph Sampson,Casual,Men,US 11,White/Green,Leather,$80.00 
Vans,Era,Skate,Women,US 7,Black,Canvas,$55.00 
New Balance,990v4,Running,Men,US 10.5,Grey,Suede/Mesh,$175.00 
Asics,Gel-Kayano 27,Running,Women,US 9,Black,Mesh,$160.00 
Fila,D-Formation,Fashion,Men,US 9,White,Leather,$70.00 
Skechers,D'Lites,Walking,Women,US 8,White,Leather,$65.00 
Nike,Air Max 2090,Running,Men,US 9,Grey,Synthetic,$150.00 
Nike,Air Force 1 Low,Casual,Men,US 9.5,White,Leather,$90.00 
Adidas,NMD_R1,Lifestyle,Women,US 7.5,Pink/White,Primeknit,$130.00 
Reebok,Zig Kinetica II,Running,Men,US 11,Black,Mesh,$120.00 
Converse,Chuck 70 High,Casual,Men,US 8.5,Cream,Canvas,$85.00 
Puma,Calibrate Runner,Running,Women,US 8,Black,Mesh,$90.00 
Vans,Sk8-Hi,Skate,Men,US 10,Black/White,Suede/Canvas,$70.00 
New Balance,327,Lifestyle,Women,US 6.5,White/Green,Suede/Mesh,$90.00 
Asics,Gel-Quantum 90,Running,Men,US 10,Blue,Mesh,$90.00 
Fila,Original Fitness,Fashion,Women,US 7.5,White/Navy,Leather/Synthetic,$65.00 
Skechers,Go Walk 5,Walking,Men,US 9,Grey,Mesh,$65.00 
Nike,React Infinity Run Flyknit,Running,Women,US 8,Black,Flyknit,$160.00 
Adidas,Superstar,Casual,Men,US 8.5,White/Black,Leather,$85.00 
Reebok,Nano 9,Crossfit,Women,US 7,Grey,Mesh,$130.00 
Converse,Run Star Hike,Casual,Women,US 9,White,Canvas,$100.00 
Puma,RS-2K,Lifestyle,Men,US 10,White,Leather/Synthetic,$120.00 
Vans,Era,Skate,Women,US 6.5,Black/White,Canvas,$50.00 
New Balance,FuelCell Propel v3,Running,Men,US 9.5,Blue/Orange,Mesh,$100.00 
Asics,Gel-Kinsei OG,Running,Women,US 8.5,White/Black,Mesh,$180.00 
Fila,Trigate,Fashion,Men,US 9.5,White/Navy/Red,Synthetic,$60.00 
Skechers,Summits,Walking,Women,US 7.5,Black/Pink,Mesh,$60.00 
Nike,Air Force 1 Low,Casual,Men,US 9,White,Leather,$90.00 
Adidas,NMD_R1,Lifestyle,Women,US 7,Pink,Primeknit,$140.00 
Reebok,Zig Kinetica,Running,Men,US 11,Black,Mesh,$120.00 
Converse,Chuck 70,Casual,Men,US 8,Grey,Canvas,$85.00 
Puma,Clyde All-Pro,Basketball,Men,US 10.5,White,Leather,$130.00 
Vans,SK8-Hi,Skate,Women,US 7,Black/White,Suede/Canvas,$70.00 
New Balance,990v2,Running,Men,US 10,Grey,Suede/Mesh,$175.00 
Asics,Gel-Quantum 360 6,Running,Women,US 8,Black,Mesh,$150.00 
Fila,Original Fitness,Casual,Men,US 9,White/Navy,Leather,$60.00 
Skechers,Max Cushioning Premier,Running,Men,US 8.5,Grey,Mesh,$90.00 
Nike,Blazer Mid,Casual,Women,US 7.5,Red,Leather,$100.00 
Adidas,Superstar,Casual,Men,US 10,White/Black,Leather,$80.00 
Reebok,Classic Nylon,Casual,Women,US 8,Black/White,Nylon/Suede,$65.00 
Converse,All Star Pro BB,Basketball,Men,US 11,Black,Canvas,$120.00 
Puma,Calibrate Runner,Running,Women,US 6.5,Blue,Mesh,$120.00 
Vans,Era,Skate,Men,US 9.5,Red,Canvas,$50.00 
New Balance,Fresh Foam More v3,Running,Women,US 7.5,Grey,Mesh,$165.00 
Asics,GT-2000 10,Running,Men,US 9.5,Black,Mesh,$120.00 
Fila,D-Formation,Casual,Women,US 8.5,White,Leather,$70.00 
Skechers,Equalizer 4.0,Walking,Men,US 12,Navy,Mesh,$65.00 
Nike,React Infinity Run Flyknit 2,Running,Women,US 9,Purple,Flyknit,$160.00 
Nike,Air Force 1,Basketball,Men,US 11,White,Leather,$90.00 
Adidas,Yeezy Boost 350 V2,Fashion,Women,US 8.5,Cream,Primeknit,$220.00 
Reebok,Zig Kinetica,Running,Men,US 12,Black,Mesh,$120.00 
Converse,Chuck 70,Casual,Women,US 7,Egret,Canvas,$85.00 
Puma,Calibrate Runner,Running,Men,US 8.5,Black,Mesh,$80.00 
Vans,Sk8-Hi,Skate,Women,US 9,Black/White,Canvas,$70.00 
New Balance,FuelCell Rebel v2,Running,Men,US 10.5,Blue,Mesh,$130.00 
Asics,Gel-Quantum 90,Running,Women,US 7,Black,Mesh,$80.00 
Fila,Tracer,Fashion,Men,US 9.5,White/Navy,Leather/Synthetic,$65.00 
Skechers,D'Lites,Walking,Women,US 6.5,Black/White,Synthetic,$65.00 
Nike,React Infinity Run Flyknit 2,Running,Men,US 9,Black,Flyknit,$160.00 
Adidas,NMD_R1 V2,Casual,Women,US 6.5,Pink,Primeknit,$130.00 
Reebok,Club C Legacy,Casual,Men,US 11,Green,Leather,$80.00 
Converse,Jack Purcell,Casual,Women,US 7.5,White,Canvas,$65.00 
Puma,Clyde All-Pro,Basketball,Men,US 10,Black,Leather,$130.00 
Vans,Slip-On,Casual,Women,US 8.5,Black,Canvas,$50.00 
New Balance,Fresh Foam Hierro v6,Trail Running,Men,US 10,Grey/Orange,Synthetic/Mesh,$135.00 
Asics,GT-2000 10,Running,Women,US 9,Black/Pink,Mesh,$120.00 
Fila,Ray,Fashion,Men,US 11,White,Synthetic,$65.00 
Skechers,Ultra Flex 2.0,Walking,Women,US 7.5,Navy/White,Mesh,$60.00 
Nike,React Infinity Run,Running,Women,US 9.5,Grey/Pink,Mesh,$160.00 
Adidas,Ultraboost 5.0 DNA,Running,Men,US 9,White,Primeknit,$180.00 
Reebok,Nano X1,Training,Women,US 8.5,Black,Flexweave/Knit,$130.00 
Converse,Jack Purcell,Casual,Men,US 11,White,Canvas,$75.00 
Puma,Calibrate Runner,Running,Men,US 10,Grey/Black,Mesh,$90.00 
Vans,Sk8-Hi,Skate,Women,US 7,Black/White,Canvas/Suede,$65.00 
New Balance,327,Lifestyle,Men,US 8.5,Blue/Orange,Suede/Nylon,$90.00 
Asics,Gel-Cumulus 23,Running,Women,US 7.5,Pink,Mesh,$120.00 
Fila,Trailblazer,Fashion,Men,US 9,Green/Orange,Leather/Synthetic,$80.00 
Skechers,Go Walk Joy,Walking,Women,US 6.5,Black,Mesh,$54.99 
Nike,Blazer Mid '77,Casual,Men,US 10,White/Black,Leather,$100.00 
Adidas,NMD_R1,Lifestyle,Women,US 6,Pink/White,Primeknit,$130.00 
Reebok,Legacy Lifter,Weightlifting,Men,US 9.5,Black/Gold,Leather,$200.00 
Converse,Run Star Hike,Casual,Women,US 7.5,Pink,Canvas,$110.00 
Puma,Wild Rider,Lifestyle,Men,US 11,Black/White,Suede/Leather,$90.00 
Vans,Slip-On,Casual,Women,US 8,Black/White Checkerboard,Canvas,$50.00 
New Balance,Fresh Foam 1080v10,Running,Men,US 12,Black/Green,Mesh,$150.00 
Asics,Gel-Quantum 360 6,Running,Women,US 9,Black/White,Mesh,$150.00 
Fila,Spaghetti,Fashion,Men,US 9.5,White/Navy,Leather/Synthetic,$75.00 
Nike,Air Max 90,Running,Men,US 8.5,White,Leather,$120.00 
Adidas,NMD_R1,Lifestyle,Women,US 7,Black/Pink,Primeknit,$130.00 
Reebok,Nano X,Crossfit,Men,US 9,Grey,Mesh,$130.00 
Converse,All Star Pro BB,Basketball,Women,US 9.5,Purple,Canvas,$110.00 
Puma,Suede Classic,Casual,Men,US 11,Black,Suede,$65.00 
Vans,Sk8-Hi,Skate,Women,US 7.5,Yellow,Suede,$65.00 
New Balance,574,Casual,Men,US 10,Grey,Suede/Mesh,$80.00 
Asics,Gel-Quantum 360 6,Running,Women,US 8.5,Black,Mesh,$150.00 
Fila,Original Fitness,Fashion,Men,US 10.5,White,Leather,$65.00 
Skechers,Go Run 600,Running,Women,US 6,Pink,Mesh,$60.00 
Nike,Air Force 1,Casual,Men,US 9.5,Grey,Leather,$90.00 
Adidas,Yeezy Boost 350,Lifestyle,Women,US 6.5,Cream,Primeknit,$220.00 
Reebok,Legacy Lifter,Weightlifting,Men,US 10.5,Black,Leather,$200.00 
Converse,Pro Leather,Casual,Women,US 8.5,White/Green,Leather,$85.00 
Puma,RS-X³ Puzzle,Lifestyle,Men,US 8.5,Red,Synthetic,$110.00 
Vans,Slip-On,Skate,Women,US 8,Black/White,Canvas,$50.00 
New Balance,FuelCell Propel v3,Running,Men,US 9,Red,Mesh,$100.00 
Asics,Gel-Kayano 28,Running,Women,US 7.5,White/Pink,Mesh,$160.00 
Fila,Disruptor Low,Fashion,Men,US 9.5,White/Navy,Synthetic,$60.00 
Skechers,Elite Flex,Walking,Women,US 7.5,Black,Mesh,$70.00 
Nike,Air Force 1 '07,Basketball,Men,US 9.5,White,Leather,$100.00 
Adidas,NMD_R1,Running,Women,US 7,Grey,Primeknit,$140.00 
Reebok,Aztrek Double Mix,Casual,Women,US 8,Pink/White,Suede/Mesh,$100.00 
Converse,All Star Leather,Casual,Men,US 8.5,Black,Leather,$65.00 
Puma,Calibrate Runner,Running,Men,US 10,Blue,Mesh,$90.00 
Vans,SK8-Hi,Skate,Women,US 6.5,Black/White,Suede/Canvas,$70.00 
New Balance,Fresh Foam 880v11,Running,Men,US 11.5,Red,Mesh,$130.00 
Asics,Gel-Cumulus 23,Running,Women,US 9.5,Purple,Mesh,$120.00 
Fila,Mindblower,Fashion,Men,US 9.5,White/Blue,Leather/Synthetic,$75.00 
Skechers,Summits - Quick Lapse,Walking,Women,US 8,Black/Pink,Mesh,$60.00 
Nike,Air Max 97,Running,Men,US 11.5,Black,Leather/Synthetic,$170.00 
Adidas,ZX 2K Boost,Casual,Women,US 7.5,White/Pink,Mesh/Synthetic,$150.00 
Reebok,Club C Revenge,Casual,Men,US 10,White/Green,Leather,$80.00 
Converse,Chuck 70 High,Casual,Women,US 6,Red,Canvas,$85.00 
Puma,Cali Sport,Lifestyle,Men,US 8.5,Black/White,Leather,$80.00 
Vans,Slip-On,Skate,Women,US 7,Black/White,Canvas,$50.00 
New Balance,Fresh Foam More v2,Running,Men,US 9,Grey,Mesh,$165.00 
Asics,GT-2000 10,Running,Women,US 8,Blue,Mesh,$120.00 
Fila,Original Fitness,Fashion,Men,US 11,White,Leather,$60.00 
Nike,Air Force 1,Basketball,Men,US 11,White,Leather,$90.00 
Adidas,NMD_R1,Running,Women,US 8,Pink,Primeknit,$140.00 
Reebok,Zig Kinetica,Running,Men,US 10.5,Black,Mesh,$120.00 
Converse,Jack Purcell,Casual,Women,US 7.5,White,Canvas,$65.00 
Puma,Clyde All-Pro,Basketball,Men,US 10.5,Black,Leather,$130.00 
Vans,Sk8-Hi,Skate,Women,US 9,Black/White,Canvas/Suede,$70.00 
New Balance,Fresh Foam More v3,Running,Men,US 9.5,Blue,Mesh,$165.00 
Asics,Gel-Kayano Lite,Running,Women,US 7.5,Black,Mesh,$120.00 
Fila,Mindblower,Fashion,Men,US 9,Grey,Synthetic,$70.00 
Skechers,D'Lites,Lifestyle,Women,US 8.5,White,Leather/Synthetic,$65.00 
Nike,Air Max 95,Running,Men,US 11,Grey,Synthetic,$170.00 
Adidas,Superstar,Casual,Women,US 7,White/Black,Leather,$80.00 
Reebok,DMX Series 2K,Casual,Men,US 9.5,White/Blue,Synthetic,$90.00 
Converse,All Star Lift,Casual,Women,US 6.5,Black,Canvas,$65.00 
Puma,Ralph Sampson,Basketball,Men,US 11,White,Leather,$80.00 
Vans,Era,Skate,Women,US 8.5,Red,Canvas,$55.00 
New Balance,FuelCell Rebel v2,Running,Men,US 10,Black,Mesh,$130.00 
Asics,Gel-Quantum 90,Running,Women,US 8,Black/Pink,Mesh,$80.00 
Fila,Original Fitness,Casual,Men,US 8.5,White/Red,Leather,$65.00 
Skechers,Elite Flex Wasick,Training,Women,US 7.5,Grey,Knit,$65.00 
Nike,React Infinity Run Flyknit,Running,Men,US 10,Blue,Flyknit,$160.00 
Nike,Air Force 1 '07,Casual,Men,US 9,White/Black,Leather,$90.00 
Adidas,Yeezy Boost 350 V2,Fashion,Women,US 8.5,Cream White,Primeknit/Synthetic,$220.00 
Reebok,Nano X1 Adventure,Training,Men,US 10.5,Black,Mesh/Synthetic,$130.00 
Converse,Jack Purcell,Casual,Women,US 7,White,Canvas,$65.00 
Puma,Calibrate Runner,Running,Men,US 11,Grey,Mesh/Synthetic,$100.00 
Vans,SK8-Hi,Skate,Women,US 9.5,Purple,Canvas/Suede,$70.00 
New Balance,FuelCell Rebel v2,Running,Men,US 9.5,Black/White,Mesh/Synthetic,$130.00 
Asics,Gel-Quantum 360 6,Running,Women,US 6,Pink,Mesh/Synthetic,$170.00 
Fila,Mindblower,Fashion,Men,US 8.5,Red/White,Synthetic/Leather,$75.00 
Skechers,Max Cushioning Elite,Running,Women,US 7,Navy,Mesh/Synthetic,$110.00 
Nike,Air Max 90,Running,Men,US 8,Black/White,Leather/Mesh,$120.00 
Adidas,NMD_R1,Fashion,Women,US 7,Grey,Knit/Synthetic,$140.00 
Reebok,Nano X1 Grit,Training,Men,US 11,Grey/Black,Mesh/Synthetic,$130.00 
Converse,All Star,Casual,Men,US 9,Navy,Canvas,$55.00 
Puma,Future Rider Play On,Lifestyle,Women,US 9,Yellow,Synthetic/Textile,$80.00 
Vans,Era,Skate,Men,US 9.5,Black/White,Canvas,$50.00 
New Balance,Fresh Foam X Beacon v3,Running,Women,US 7,White/Grey,Mesh,$120.00 
Asics,Gel-Kayano 27,Running,Men,US 12,Black,Mesh/Synthetic,$160.00 
Fila,Trigate,Fashion,Women,US 8,Pink,Synthetic/Leather,$65.00 
Nike,Air Force 1,Casual,Men,US 11,White,Leather,$90.00 
Adidas,Yeezy Boost 350 V2,Fashion,Women,US 7,Cream,Primeknit,$220.00 
Reebok,Nano X1,CrossFit,Men,US 10,Black/White,Mesh,$130.00 
Converse,All Star,Casual,Women,US 8.5,Red,Canvas,$60.00 
Puma,Calibrate Rest,Running,Men,US 8.5,Grey,Mesh,$100.00 
Vans,Sk8-Hi,Skate,Men,US 9,Black/White,Suede/Canvas,$70.00 
New Balance,327,Casual,Women,US 7,Green/White,Suede/Nylon,$90.00 
Asics,Gel-Cumulus 23,Running,Men,US 9,Black,Mesh,$120.00 
Fila,Mindblower,Fashion,Women,US 7.5,Pink,Leather,$75.00 
Skechers,Max Cushioning,Walking,Men,US 11,Grey,Mesh,$90.00 
Nike,React Infinity Run Flyknit 2,Running,Women,US 8,Blue,Flyknit,$160.00 
Adidas,Ultraboost 20,Running,Men,US 9.5,White,Primeknit,$180.00 
Reebok,Aztrek 96,Casual,Women,US 9,Purple,Synthetic,$90.00 
Converse,Jack Purcell,Casual,Men,US 8.5,White,Canvas,$70.00 
Puma,RS-X3,Fashion,Women,US 7.5,Pink,Leather/Synthetic,$110.00 
Vans,Slip-On,Skate,Men,US 9.5,Checkerboard Black/White,Canvas,$50.00 
New Balance,FuelCell Rebel v2,Running,Women,US 8.5,Grey/Green,Mesh,$130.00 
Asics,Gel-Quantum 360 6,Running,Men,US 10,Black,Mesh,$160.00 
Fila,D-Formation,Fashion,Women,US 6,White/Black,Leather/Synthetic,$70.00 
Skechers,Go Walk 5,Walking,Men,US 10,Black,Mesh,$65.00 
Nike,Air Max 2090,Running,Women,US 7.5,Green,Mesh,$150.00 
Nike,React Infinity Run,Running,Men,US 9.5,Blue/Black,Mesh,$160.00 
Adidas,NMD_R1,Lifestyle,Women,US 7.5,Grey,Primeknit,$130.00 
Reebok,Nano 9,Training,Men,US 10,Black,Flexweave,$130.00 
Converse,All Star Pro BB,Basketball,Women,US 8.5,White,Leather,$100.00 
Puma,Clyde Hardwood,Basketball,Men,US 8,Red/Black,Leather,$110.00 
Vans,Sk8-Hi,Skate,Women,US 7.5,Black/White,Suede/Canvas,$70.00 
New Balance,327,Casual,Men,US 9.5,Green,Suede/Mesh,$90.00 
Asics,Gel-Quantum 360 6,Running,Women,US 8,Pink,Mesh/Synthetic,$160.00 
Fila,Mindblower,Fashion,Men,US 10,White/Red,Leather,$75.00 
Skechers,D'Lites,Walking,Women,US 7.5,Black,Leather/Synthetic,$60.00 
Nike,Blazer Mid '77,Casual,Men,US 10,White/Black,Leather,$100.00 
Adidas,Superstar,Casual,Women,US 8.5,White/Black,Leather,$80.00 
Reebok,Classic Nylon,Casual,Men,US 11,Black,Nylon/Suede,$60.00 
Converse,Chuck 70,Casual,Women,US 7.5,Egret,Canvas,$85.00 
Puma,Ralph Sampson Mid,Basketball,Men,US 9.5,White,Leather,$90.00 
Vans,Era,Skate,Men,US 8.5,Red,Canvas,$55.00 
New Balance,FuelCell Rebel v2,Running,Women,US 7,Purple,Mesh,$130.00 
Asics,GT-2000 10,Running,Men,US 9.5,Grey,Mesh,$120.00 
