Brand,Model,Type,Gender,Size,Color,Material,Price (USD)
Fila,Trailblazer,Hiking,Women,US 8,Beige,Leather/Synthetic,$85.00 
Skechers,Summits,Training,Men,US 11,Black,Mesh,$60.00 
Nike,Air Force 1,Basketball,Men,US 11,White,Leather,$90.00 
Adidas,Yeezy Boost 350 V2,Lifestyle,Men,US 10,Cream,Primeknit,$220.00 
Reebok,Zig Kinetica,Running,Women,US 9,Pink,Mesh,$120.00 
Converse,Chuck 70,Casual,Men,US 9,Black,Canvas,$85.00 
Puma,Clyde All-Pro,Basketball,Men,US 9.5,Black,Leather,$130.00 
Vans,Sk8-Hi,Skate,Women,US 7,Black/White,Suede/Canvas,$70.00 
New Balance,574,Casual,Men,US 8,Grey,Suede/Mesh,$80.00 
Asics,Gel-Quantum 360,Running,Women,US 7.5,Grey,Mesh,$170.00 
Fila,Mindblower,Fashion,Men,US 11,White/Red,Leather,$75.00 
Skechers,Energy Wave Linxe,Walking,Women,US 8,Grey,Mesh,$60.00 
Nike,React Infinity Run Flyknit 2,Running,Men,US 9.5,Black/White,Flyknit,$160.00 
Adidas,Ultraboost DNA,Running,Women,US 6.5,White,Primeknit,$180.00 
Reebok,Nano X1,Training,Men,US 10,Blue,Mesh,$130.00 
Converse,Jack Purcell,Casual,Women,US 7,White,Canvas,$65.00 
Puma,Calibrate Runner,Running,Men,US 10.5,Grey,Mesh,$120.00 
Vans,Slip-On,Skate,Men,US 8.5,Black/White,Canvas,$50.00 
New Balance,FuelCell Rebel V2,Running,Women,US 7.5,Pink,Mesh,$110.00 
Asics,Gel-Kayano 27,Running,Men,US 11.5,Black,Mesh,$160.00 
Fila,Original Fitness,Casual,Women,US 8.5,White,Leather,$60.00 
Skechers,Go Run Mojo 2.0,Running,Men,US 9,Black,Mesh,$55.00 
Nike,Zoom Fly 3,Running,Women,US 9,Blue,Mesh,$160.00 
Nike,Blazer Mid '77,Basketball,Men,US 11,White/Black,Leather,$100.00 
Adidas,Yeezy Boost 350 V2,Lifestyle,Women,US 6.5,Cloud White,Primeknit,$220.00 
Reebok,Nano X1,CrossFit,Men,US 9.5,Black/White,Knit/Synthetic,$130.00 
Converse,Jack Purcell,Casual,Women,US 8,Pink,Canvas,$65.00 
Puma,Calibrate,Running,Men,US 10,Grey/White,Mesh/Synthetic,$120.00 
Vans,Sk8-Hi,Skate,Women,US 7,Black/White,Suede/Canvas,$70.00 
New Balance,574,Casual,Men,US 12,Navy/Red,Suede/Mesh,$85.00 
Asics,Gel-Quantum 90,Running,Women,US 7.5,Black/Gold,Mesh/Synthetic,$90.00 
Fila,Original Fitness,Casual,Men,US 11,White/Navy/Red,Leather,$70.00 
Skechers,Elite Flex,Walking,Women,US 9,Grey/Pink,Knit,$70.00 
Nike,Air Zoom Pegasus 38,Running,Men,US 10,Blue,Mesh/Synthetic,$120.00 
Adidas,NMD_R1,Lifestyle,Women,US 8.5,Black/Pink,Knit,$140.00 
Reebok,Floatride Energy 3,Running,Men,US 8.5,White/Black,Knit/Synthetic,$100.00 
Converse,All Star Chuck 70,Skate,Women,US 9,Black,Canvas,$85.00 
Puma,Clyde All-Pro,Basketball,Men,US 9,Black/Yellow,Leather/Synthetic,$130.00 
Vans,Era,Skate,Women,US 8,Multi-color,Canvas,$55.00 
New Balance,Fresh Foam 880v11,Running,Men,US 9.5,Grey,Mesh,$130.00 
Asics,Gel-Kayano 28,Running,Women,US 9,Black,Mesh,$160.00 
Fila,Trigate,Running,Men,US 10,Black/White,Mesh/Synthetic,$65.00 
Nike,React Infinity Run,Running,Men,US 9.5,Blue/Green,Mesh,$160.00 
Adidas,NMD_R1,Lifestyle,Women,US 8,White/Black,Primeknit,$140.00 
Reebok,Nano 9,CrossFit,Men,US 10,Black,Synthetic/Textile,$130.00 
Converse,Jack Purcell,Casual,Women,US 7.5,White,Canvas,$65.00 
Puma,Calibrate Runner,Running,Men,US 11,Black/White,Mesh,$120.00 
Vans,Era,Skate,Women,US 7.5,Pink,Canvas,$50.00 
New Balance,327,Casual,Men,US 8,Grey/Green,Suede/Mesh,$100.00 
Asics,Gel-Quantum 180 5,Running,Women,US 9,Pink/Black,Mesh/Synthetic,$120.00 
Fila,D-Formation,Fashion,Men,US 9.5,White/Red,Leather/Synthetic,$70.00 
Skechers,Max Cushioning Elite,Running,Women,US 6.5,Grey/Pink,Mesh,$90.00 
Nike,ZoomX Vaporfly Next%,Running,Men,US 10,Black/White,Mesh,$250.00 
Adidas,Yeezy Boost 350 V2,Fashion,Women,US 7.5,Cream White,Primeknit,$220.00 
Reebok,Aztrek 96,Casual,Men,US 11.5,Black/White,Suede/Textile,$90.00 
Converse,Chuck 70,Casual,Women,US 6.5,Sunflower,Canvas,$85.00 
Puma,Future Rider,Lifestyle,Men,US 10,Blue/Red,Synthetic/Mesh,$80.00 
Vans,Sk8-Hi,Skate,Women,US 8,Yellow,Canvas/Suede,$65.00 
New Balance,Fresh Foam More,Running,Men,US 9.5,Black/White,Mesh,$165.00 
Asics,Gel-Kayano 28,Running,Women,US 7,White/Pink,Mesh,$160.00 
Fila,Venom,Fashion,Men,US 8.5,White/Red/Navy,Leather/Synthetic,$65.00 
Nike,Air Force 1 '07,Basketball,Men,US 11,White,Leather,$90.00 
Adidas,NMD_R1,Lifestyle,Women,US 8,Pink,Primeknit,$130.00 
Reebok,Nano X1 Adventure,Training,Men,US 10.5,Grey,Flexweave,$130.00 
Converse,Jack Purcell Low Top,Casual,Women,US 7,White,Canvas,$65.00 
Puma,Clyde All-Pro,Basketball,Men,US 12,Black/White,Leather/Synthetic,$130.00 
Vans,SK8-Hi,Skate,Women,US 7.5,Pink,Suede/Canvas,$65.00 
New Balance,327,Lifestyle,Men,US 9.5,Green,Suede/Mesh,$90.00 
Asics,Gel-Lyte III,Lifestyle,Women,US 9,Black/Grey,Leather/Suede,$110.00 
Fila,Original Fitness,Fashion,Men,US 9.5,White,Leather,$60.00 
Skechers,Max Cushioning Elite,Running,Women,US 7,Black,Mesh,$100.00 
Nike,Air Zoom Pegasus 38,Running,Men,US 10,Blue,Mesh,$120.00 
Adidas,Harden Vol. 5,Basketball,Women,US 8.5,Grey,Textile,$130.00 
Reebok,DMX Trail Shadow,Running,Men,US 9,Orange,Synthetic/Mesh,$120.00 
Converse,Chuck 70 High Top,Casual,Men,US 11.5,Black,Canvas,$85.00 
Puma,RS-X Hard Drive,Lifestyle,Women,US 6.5,Silver/White,Mesh/Synthetic,$120.00 
Vans,Era,Skate,Men,US 8.5,Red,Canvas,$50.00 
New Balance,Fresh Foam More v3,Running,Women,US 8,Black,Mesh/Synthetic,$165.00 
Asics,Gel-Quantum 360 6,Running,Men,US 10.5,Black/Red,Mesh/Synthetic,$170.00 
Fila,Mindblower,Fashion,Women,US 7,Pink,Synthetic,$75.00 
Skechers,D'Lites Fresh Start,Walking,Men,US 12,White,Synthetic/Leather,$65.00 
Nike,Blazer Mid '77,Skate,Men,US 9,Black/White,Leather,$100.00 
Adidas,Ultraboost DNA,Running,Women,US 8.5,Grey,Primeknit,$180.00 
Reebok,Classic Nylon,Casual,Men,US 12,Navy,Nylon,$65.00 
Converse,Chuck 70,Casual,Women,US 6.5,Pink,Canvas,$85.00 
Puma,Calibrate Runner,Running,Men,US 10,Black,Mesh,$90.00 
Vans,Sk8-Hi,Skate,Women,US 7.5,Red,Canvas/Suede,$70.00 
New Balance,Fresh Foam More,Running,Men,US 9.5,Black,Mesh,$160.00 
Asics,Gel-Quantum 180,Running,Women,US 7.5,Blue,Mesh,$120.00 
Fila,D-Formation,Fashion,Men,US 11,White,Leather,$70.00 
Skechers,Solar Fuse,Walking,Women,US 8,Grey,Mesh,$70.00 
Nike,Air Max 2090,Running,Men,US 10.5,Green,Mesh,$150.00 
Adidas,Adilette Shower,Slides,Women,US 6,Pink,Synthetic,$25.00 
Reebok,Nano X1,Training,Men,US 11,Red,Mesh,$130.00 
Converse,Jack Purcell,Casual,Women,US 7.5,White,Canvas,$75.00 
Puma,Suede Classic+,Casual,Men,US 8,Black,Suede,$65.00 
Vans,Slip-On,Skate,Women,US 9,Checkerboard Black/White,Canvas,$50.00 
New Balance,FuelCell Rebel v2,Running,Men,US 8.5,Green,Mesh,$130.00 
Asics,Gel-Sonoma 6,Trail,Women,US 6.5,Grey,Mesh,$75.00 
Fila,Ray Tracer Evo,Fashion,Men,US 12,Black,Synthetic,$65.00 
Skechers,Max Cushioning,Running,Women,US 8,Navy,Mesh,$85.00 
Nike,React Infinity Run Flyknit,Running,Men,US 11,Blue,Flyknit,$160.00 
Nike,Air Force 1 Low,Casual,Men,US 12,White,Leather,$90.00 
Adidas,Yeezy Boost 350,Fashion,Women,US 8,Cream White,Primeknit,$220.00 
Reebok,Nano 9,Training,Men,US 11,Black/Gum,Flexweave/Cushioning,$130.00 
Converse,Jack Purcell,Casual,Women,US 7.5,Egret/Black,Canvas,$65.00 
Puma,Calibrate Runner,Running,Men,US 10.5,Grey,Mesh,$100.00 
Vans,Sk8-Hi,Skate,Women,US 9.5,Black/White,Canvas/Suede,$70.00 
New Balance,997H,Casual,Men,US 9.5,Black/Grey,Suede/Mesh,$89.99 
Asics,Gel-Cumulus 22,Running,Women,US 8,Pink,Mesh,$120.00 
Fila,Mindblower,Fashion,Men,US 8.5,White/Navy/Red,Synthetic/Leather,$75.00 
Skechers,Go Walk 5,Walking,Women,US 7,Black,Mesh,$60.00 
Nike,Blazer Low,Casual,Men,US 10,Black,Leather,$85.00 
Adidas,Ultraboost 6.0,Running,Women,US 7,Grey,Primeknit,$180.00 
Reebok,Aztrek 96,Casual,Men,US 12,White/Black,Synthetic,$90.00 
Converse,Pro Leather,Basketball,Women,US 8.5,White,Leather,$75.00 
Puma,Suede Classic,Casual,Men,US 9.5,Black/White,Suede,$65.00 
Vans,Era,Skate,Women,US 8,True White,Canvas,$50.00 
New Balance,1500v6,Racing,Men,US 8,Orange,Mesh,$110.00 
Asics,Gel-Kayano 27,Running,Women,US 7,Grey,Mesh,$160.00 
Fila,Original Fitness,Casual,Men,US 10.5,Black,Leather,$60.00 
Skechers,Go Run Mojo,Running,Women,US 9.5,Grey/Pink,Mesh,$60.00 
Nike,Air Force 1,Casual,Men,US 10.5,White,Leather,$90.00 
Adidas,NMD_R1,Lifestyle,Women,US 8.5,Grey/Pink,Primeknit,$140.00 
Reebok,Nano X1 Adventure,Training,Men,US 11,Black,Knit,$130.00 
Converse,Chuck 70,Casual,Women,US 7,Pink,Canvas,$85.00 
Puma,Cali Sport,Fashion,Women,US 6.5,White/Black,Leather,$80.00 
Vans,Sk8-Hi,Skate,Men,US 9.5,Blue/White,Suede/Canvas,$70.00 
New Balance,Fresh Foam More v3,Running,Women,US 7.5,Pink/White,Mesh,$165.00 
Asics,Gel-Cumulus 23,Running,Men,US 9.5,Black,Mesh,$120.00 
Fila,Trail Blazer,Hiking,Women,US 9.5,Green,Suede/Leather,$70.00 
Skechers,Go Run Mojo Pep,Running,Men,US 8.5,Black,Mesh,$70.00 
Nike,Air Zoom Pegasus 38,Running,Women,US 6.5,Blue/Pink,Mesh,$120.00 
Adidas,Superstar,Casual,Men,US 11,White/Black,Leather,$80.00 
Reebok,Classic Nylon,Casual,Women,US 8.5,Purple,Nylon,$65.00 
Converse,Jack Purcell,Casual,Men,US 9,White,Canvas,$70.00 
Puma,Suede Classic+,Casual,Women,US 7,Black,Suede,$65.00 
Vans,Era,Skate,Men,US 10.5,Black/White,Canvas,$55.00 
New Balance,574,Casual,Women,US 9,Grey/White,Suede/Mesh,$80.00 
Asics,Gel-Contend 7,Running,Men,US 10,Blue,Mesh,$70.00 
Fila,Trigate,Running,Women,US 7,Black/Pink,Synthetic/Mesh,$70.00 
Skechers,Flex Appeal 4.0,Training,Men,US 8.5,Grey/Orange,Knit,$70.00 
Nike,Air Force 1 Low,Casual,Men,US 9.5,White,Leather,$90.00 
Adidas,Yeezy Boost 350 V2,Lifestyle,Men,US 11,Cream White,Primeknit,$220.00 
Reebok,Aztrek,Retro,Women,US 7.5,Black/Gold/Red,Suede/Mesh,$90.00 
Converse,Jack Purcell,Casual,Men,US 8,Navy,Canvas,$65.00 
Puma,Calibrate Runner,Running,Women,US 8,Grey/White,Mesh,$80.00 
Vans,Era,Skate,Men,US 10,Black/White,Canvas,$55.00 
New Balance,327,Retro,Men,US 12,Grey/Orange,Suede/Mesh,$100.00 
Asics,Gel-Kayano 27,Running,Women,US 9.5,Blue/Pink,Mesh,$160.00 
Fila,D-Formation,Fashion,Men,US 9,Black,Leather/Synthetic,$65.00 
Skechers,Go Run Ride 8,Running,Women,US 7.5,Black/Pink,Mesh,$90.00 
Nike,React Infinity Run,Running,Men,US 11,Black,Mesh/Synthetic,$160.00 
Adidas,NMD_R1,Lifestyle,Women,US 8,Black/Grey,Primeknit,$130.00 
Reebok,Club MEMT,Casual,Men,US 9.5,White/Grey,Leather,$65.00 
Converse,Chuck 70,Skate,Women,US 6.5,White,Canvas,$85.00 
Puma,Clyde,Retro,Men,US 8,Red,Suede,$80.00 
Vans,Sk8-Hi,Skate,Women,US 7.5,Pink/White,Canvas,$65.00 
New Balance,1080v10,Running,Men,US 10.5,Grey,Mesh,$150.00 
Asics,Gel-Quantum 180,Running,Women,US 7.5,Black/White,Mesh,$140.00 
Fila,Original Fitness,Casual,Men,US 10,White/Navy/Red,Leather,$60.00 
Skechers,Summits,Walking,Women,US 9,Black/Grey,Mesh,$60.00 
Nike,Air Force 1,Basketball,Men,US 11,White,Leather,$90.00 
Adidas,Yeezy Boost 350 V2,Lifestyle,Men,US 9,Natural,Primeknit,$220.00 
Reebok,Legacy Lifter,Weightlifting,Men,US 10.5,Black,Synthetic,$150.00 
Converse,Jack Purcell,Casual,Women,US 7.5,White,Canvas,$75.00 
Puma,Calibrate Runner,Running,Men,US 10,Grey,Mesh,$100.00 
Vans,Slip-On,Skate,Women,US 8.5,Checkered,Canvas,$50.00 
New Balance,327,Casual,Men,US 9,Navy/Red,Suede/Nylon,$100.00 
Asics,Gel-Quantum 360 6,Running,Women,US 8.5,Pink,Mesh,$150.00 
Fila,Mindblower,Fashion,Men,US 11,White/Navy,Synthetic,$75.00 
Skechers,Go Run Mojo,Running,Women,US 7.5,Black/Pink,Mesh,$65.00 
Nike,Zoom Fly 3,Running,Men,US 10,Black,Mesh,$160.00 
Adidas,Ultra Boost DNA,Running,Women,US 8.5,Grey,Primeknit,$180.00 
Reebok,Nano 9,Crossfit,Men,US 9.5,Grey/Black,Mesh,$130.00 
Converse,Pro Leather,Skate,Women,US 6,White,Leather,$75.00 
Puma,Clyde All-Pro,Basketball,Men,US 11.5,White/Black,Leather,$130.00 
Vans,Sk8-Hi,Skate,Men,US 8.5,Black/White,Suede/Canvas,$70.00 
New Balance,574,Casual,Women,US 7.5,Burgundy,Suede/Leather,$80.00 
Asics,Gel-Cumulus 23,Running,Men,US 11.5,Black/Red,Mesh,$120.00 
Fila,Original Fitness,Casual,Women,US 8.5,White/Navy,Leather,$65.00 
Skechers,Go Walk 5,Walking,Men,US 9,Charcoal,Mesh,$65.00 
Nike,Air Force 1,Casual,Men,US 8.5,White,Leather,$90.00 
Adidas,Yeezy Boost 350,Lifestyle,Men,US 10,Grey,Primeknit,$220.00 
Reebok,Nano 9,Crossfit,Women,US 7,Black,Mesh,$130.00 
Converse,All Star,Casual,Men,US 9,Red,Canvas,$55.00 
Puma,Clyde Court,Basketball,Men,US 11,Black,Mesh,$120.00 
Vans,Sk8-Hi,Skate,Women,US 7.5,Red,Suede,$65.00 
New Balance,327,Lifestyle,Men,US 9,Green,Suede/Mesh,$90.00 
Asics,Gel-Kinsei OG,Running,Women,US 8.5,White,Mesh,$180.00 
Fila,Mindblower,Fashion,Men,US 10,Blue,Synthetic,$75.00 
Skechers,Go Walk 5,Walking,Women,US 8,Grey,Mesh,$60.00 
Nike,Zoom Pegasus 38,Running,Men,US 10,Black,Mesh,$120.00 
Adidas,NMD_R1,Lifestyle,Women,US 7.5,Black/Pink,Primeknit,$140.00 
Reebok,Aztrek 96,Casual,Men,US 11,Grey,Synthetic,$90.00 
Converse,Pro Leather,Basketball,Women,US 8.5,White,Leather,$85.00 
Puma,RS-X,Lifestyle,Men,US 9,Black,Leather,$110.00 
Vans,Era,Skate,Women,US 6.5,Black,Canvas,$50.00 
New Balance,FuelCell Rebel v2,Running,Women,US 9.5,Blue,Mesh,$130.00 
Asics,Gel-Quantum 360 6,Running,Men,US 9,Black/Grey,Mesh,$180.00 
Fila,V94M Low,Fashion,Women,US 7,White/Pink,Leather,$75.00 
Skechers,Stamina,Training,Men,US 9,Black,Leather,$65.00 
Nike,SB Dunk Low,Skate,Men,US 9.5,Orange,Leather,$100.00 
Nike,Air Force 1,Casual,Men,US 11,White/Black,Leather,$90.00 
Adidas,Yeezy Boost 350 V2,Fashion,Women,US 8.5,Cinder,Primeknit,$220.00 
Reebok,Zig Kinetica II,Running,Men,US 9.5,Black/White,Mesh/Synthetic,$120.00 
Converse,Jack Purcell,Casual,Women,US 7.5,Black/White,Canvas,$65.00 
Puma,Calibrate Runner,Running,Men,US 10,Grey,Mesh,$100.00 
Vans,Sk8-Hi,Skate,Women,US 6.5,Blue/White,Suede/Canvas,$70.00 
New Balance,574 Classic,Casual,Men,US 9.5,Black/Yellow,Suede/Mesh,$80.00 
Asics,Gel-Kayano Lite,Running,Women,US 8.5,Purple,Mesh/Synthetic,$120.00 
Fila,Trailblazer,Fashion,Men,US 10.5,Black/Gold,Leather/Suede,$75.00 
Skechers,Uno Bold,Lifestyle,Women,US 7.5,Pink/White,Synthetic,$70.00 
Nike,Air Max 2090,Running,Men,US 11.5,Black/White,Mesh/Synthetic,$150.00 
Adidas,Ultra Boost DNA,Running,Women,US 8,Grey/White,Primeknit,$180.00 
Reebok,Classic Leather,Casual,Men,US 12,Navy/White,Leather,$75.00 
Converse,Chuck 70,Casual,Women,US 9,Red,Canvas,$85.00 
Puma,Suede Classic,Casual,Men,US 9.5,Red/White,Suede,$65.00 
Vans,Era,Skate,Women,US 7,Black/White,Canvas,$55.00 
New Balance,FuelCell Rebel v2,Running,Men,US 10.5,Blue/Yellow,Mesh,$100.00 
Asics,Gel-Quantum 360 6,Running,Women,US 7.5,White/Grey,Mesh/Synthetic,$180.00 
Fila,Strada,Fashion,Men,US 11,White/Red/Blue,Synthetic,$70.00 
Nike,Air Force 1,Casual,Men,US 12,White,Leather,$90.00 
Adidas,NMD_R1,Lifestyle,Women,US 7,Pink,Primeknit,$140.00 
Reebok,Nano X1,Training,Men,US 11,Black,Flexweave,$130.00 
Converse,Jack Purcell,Casual,Men,US 9,White,Canvas,$65.00 
Puma,Clyde All-Pro,Basketball,Men,US 10.5,Black,Leather,$130.00 
Vans,Sk8-Hi,Skate,Women,US 8,Black/White,Suede/Canvas,$65.00 
New Balance,327,Lifestyle,Men,US 9.5,Grey,Suede/Mesh,$90.00 
Asics,Gel-Quantum 360 6,Running,Women,US 8.5,Black/Pink,Mesh/Synthetic,$160.00 
Fila,Mindblower,Fashion,Men,US 10,White/Black,Leather/Synthetic,$75.00 
Skechers,Max Cushioning Elite,Running,Women,US 7,Grey/Pink,Mesh,$90.00 
Nike,ZoomX Invincible,Running,Men,US 10.5,Blue,Mesh,$180.00 
Adidas,Harden Vol. 5,Basketball,Women,US 8.5,Purple,Synthetic,$130.00 
Reebok,Classic Nylon,Casual,Men,US 12,Navy,Nylon,$60.00 
Converse,Chuck 70,Casual,Women,US 7,Ivory,Canvas,$85.00 
Puma,Suede Classic+,Casual,Men,US 8.5,Black/White,Suede,$65.00 
Vans,Era,Skate,Men,US 9.5,Red,Canvas,$50.00 
New Balance,FuelCell Prism,Running,Women,US 9.5,Black,Mesh,$90.00 
Asics,Gel-Excite 8,Running,Men,US 9,Grey/Black,Mesh,$75.00 
Fila,Spaghetti,Fashion,Women,US 7,White,Leather/Synthetic,$70.00 
Skechers,D'Lites Fresh Start,Walking,Men,US 10.5,Black,Leather,$60.00 
Nike,Air Force 1,Casual,Men,US 11,White,Leather,$90.00 
Adidas,NMD_R1,Lifestyle,Women,US 8,Black,Primeknit,$140.00 
Reebok,Nano 9,Training,Men,US 10.5,Red,Mesh,$130.00 
Converse,Jack Purcell,Casual,Women,US 7.5,White,Canvas,$65.00 
Puma,Calibrate Runner,Running,Men,US 8.5,Black,Mesh,$90.00 
Vans,Sk8-Hi,Skate,Women,US 9,Purple,Suede/Canvas,$65.00 
New Balance,Fresh Foam More v3,Running,Women,US 9,Grey,Mesh,$160.00 
